name,date,value,in counts,master version,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/20,-14.669998,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/20,-0.05000344,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/20,1.5700016,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/20,1.6099991,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/20,0.53000146,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/20,0.5899987,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/20,0.8000021,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/20,-1.5799992,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/20,1.4307,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/20,1.688316,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/21,2.3318434,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/21,-0.10821873,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/21,-0.8316,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/21,1.4973001,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/21,0.9121001,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/21,0.52000004,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/21,0.4099998,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/21,0.59,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/21,-1.0718,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/21,-0.44999975,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/21,-0.10000019,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/21,-0.35249448,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/22,-1.81,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/22,-1.9899998,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/22,-2.961248,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/22,-2.8229945,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",5/31/22,-2.7024,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",6/30/22,-2.85045,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",7/31/22,0.84911,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",8/31/22,-1.23321,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",9/30/22,-4.64774,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",10/31/22,-2.8944714,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",11/30/22,1.27753,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",12/31/22,-0.73421013,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",1/31/23,1.7948,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",2/28/23,-1.4983152,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",3/31/23,0.81002,valid,.,,,,,,,,,,,,,,,
"iCapital DoubleLine Opportunistic Fund, Ltd.",4/30/23,0.155,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",8/31/02,0.64,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",9/30/02,0.520002,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",10/31/02,0.79999346,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",11/30/02,1.590005,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",12/31/02,0.9099948,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",1/31/03,1.2200022,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",2/28/03,0.77000684,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",3/31/03,0.73999214,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",4/30/03,0.81000155,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",5/31/03,0.66000277,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",6/30/03,0.94999474,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",7/31/03,0.8800021,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",8/31/03,0.9900056,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",9/30/03,1.0399956,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",10/31/03,1.0600053,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",11/30/03,0.89999205,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",12/31/03,1.0700076,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",1/31/04,1.2999934,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",2/29/04,1.0500066,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",3/31/04,1.2499999,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",4/30/04,0.889999,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",5/31/04,0.8399985,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",6/30/04,0.82999533,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",7/31/04,0.7600028,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",8/31/04,0.9900048,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",9/30/04,0.95999795,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",10/31/04,0.96999806,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",11/30/04,1.3100027,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",12/31/04,0.9999939,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",1/31/05,0.6500064,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",2/28/05,0.8199993,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",3/31/05,1.2599941,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",4/30/05,0.6299999,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",5/31/05,0.9000056,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",6/30/05,1.0300009,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",7/31/05,0.8700002,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",8/31/05,0.55999976,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",9/30/05,1.1700002,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",10/31/05,0.7799974,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",11/30/05,0.86000025,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",12/31/05,1.0200001,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",1/31/06,1.3299979,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",2/28/06,0.84000045,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",3/31/06,1.1300027,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",4/30/06,0.92999727,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",5/31/06,0.57000405,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",6/30/06,0.8199961,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",7/31/06,0.97999775,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",8/31/06,1.0600023,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",9/30/06,0.8399977,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",10/31/06,0.96000135,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",11/30/06,1.7300034,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",12/31/06,0.9099999,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",1/31/07,1.279996,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",2/28/07,0.3800037,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",3/31/07,1.1199963,valid,.,,,,,,,,,,,,,,,
"iCapital Income Opportunities Fund, L.P.",4/30/07,0.9900032,valid,.,,,,,,,,,,,,,,,
